soc_code,title,aai,aai_manus,rank,frey_probability,label,occupation,claude_usage,employment_2025,median_wage_2025,employment_2010,median_wage_2010,education_level,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,rl_feasibility,cognitive_ability_share
11-1011,Chief Executives,0.1398852113512685,0.1486020876176212,70.0,0.015,0.0,Chief executives,0.03191055056828788,204350.0,213990.0,273500.0,165080.0,Bachelor's degree,0.1,0.46,0.8200000000000001,0.18,0.35,0.52,13.896774193548387,0.5879059350503919
11-1021,General and Operations Managers,0.1395223813130562,0.1539984409660741,195.0,0.16,,General and operations managers,0.031074513687118027,3503020.0,105770.0,1708080.0,94400.0,Bachelor's degree,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,23.38235294117647,0.5568441547447727
11-1031,Legislators,,,,,,Legislators,0.0052333737236865,,,65710.0,19260.0,Bachelor's degree,0.0333333333333333,0.4,0.7666666666666666,0.2666666666666666,0.5166666666666666,0.7666666666666666,,
11-2011,Advertising and Promotions Managers,0.1282694058502469,0.1497913316149124,124.0,0.039,,Advertising and promotions managers,0.017601192048430483,21470.0,133660.0,32240.0,83890.0,Bachelor's degree,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,33.87142857142857,0.5841405915130733
11-2021,Marketing Managers,0.1226681689217844,0.1416836872203719,61.0,0.014,,Marketing managers,0.01300308790764936,395240.0,166790.0,164590.0,112800.0,Bachelor's degree,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,32.019999999999996,0.5880470506832727
11-2022,Sales Managers,0.1215467156707206,0.1359993245699428,59.0,0.013,,Sales managers,0.005397789140020472,637080.0,148270.0,319300.0,98530.0,Bachelor's degree,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,28.841176470588238,0.592641261498029
11-2032,Public Relations Managers,,,,,,Public Relations Managers,,74850.0,146910.0,,,Bachelor's degree,0.15,0.55,0.95,0.25,0.5750000000000001,0.9,,
11-2033,Fundraising Managers,0.112947899397106,0.127362296042467,,,,Fundraising Managers,,38810.0,125470.0,,,Bachelor's degree,0.125,0.5625,1.0,0.25,0.5,0.75,31.25625,0.5763716814159292
11-3012,Administrative Services Managers,0.1619580530750206,0.1668637529806011,,,,Administrative Services Managers,,263960.0,114130.0,,,Bachelor's degree,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,39.425,0.5278407251537713
11-3013,Facilities Managers,0.1454191579827568,0.1423534239449321,,,,Facilities Managers,,156180.0,106660.0,,,Bachelor's degree,0.0,0.3181818181818182,0.6363636363636364,0.0909090909090909,0.2727272727272727,0.4545454545454546,43.45454545454545,0.4840944647247263
11-3021,Computer and Information Systems Managers,0.1705823463830622,0.1669490290623085,118.0,0.035,,Computer and information systems managers,0.020604664062078244,670570.0,175140.0,288660.0,115780.0,Bachelor's degree,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,32.04117647058824,0.5657905646297985
11-3031,Financial Managers,0.1396333867940478,0.1466379835146599,152.0,0.069,,Financial managers,0.008234420398431249,841710.0,166570.0,478940.0,103910.0,Bachelor's degree,0.0,0.4814814814814814,0.9629629629629628,0.037037037037037,0.4259259259259259,0.8148148148148148,39.141176470588235,0.5858289462328471
